row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_count,opening_theater_count,release_date,close
31,83,Inferno,Sony,"$34,343,574","3,576","$14,860,425","3,576",10/28,1/19
32,42,Boo! A Madea Halloween,LGF,"$73,206,343","2,299","$28,501,448","2,260",10/21,12/22
33,56,Jack Reacher: Never Go Back,Par.,"$58,697,076","3,780","$22,872,490","3,780",10/21,1/12
34,81,Ouija: Origin of Evil,Uni.,"$35,144,505","3,168","$14,065,500","3,167",10/21,12/29
35,117,Keeping Up with the Joneses,Fox,"$14,904,426","3,022","$5,461,475","3,022",10/21,12/29
36,149,Denial,BST,"$4,073,489",648,"$93,728",5,10/21,12/19
37,36,The Accountant,WB,"$86,260,045","3,402","$24,710,273","3,332",10/14,1/12
38,98,Kevin Hart: What Now?,Uni.,"$23,591,043","2,567","$11,767,210","2,567",10/14,12/15
39,151,Max Steel,ORF,"$3,818,664","2,034","$2,182,216","2,034",10/14,11/3
40,41,The Girl on the Train (2016),Uni.,"$75,395,035","3,241","$24,536,265","3,144",10/7,12/29
41,106,Middle School: The Worst Years of My Life,LGF,"$20,007,149","2,822","$6,878,437","2,822",10/7,12/1
42,114,The Birth of a Nation,FoxS,"$15,861,566","2,105","$7,004,254","2,105",10/7,12/8
43,35,Miss Peregrine's Home for Peculiar Children,Fox,"$87,242,834","3,835","$28,871,140","3,522",9/30,2/9
44,53,Deepwater Horizon,LG/S,"$61,433,527","3,403","$20,223,544","3,259",9/30,12/15
45,112,Masterminds (2016),Rela.,"$17,368,022","3,042","$6,541,205","3,042",9/30,11/10
46,138,Queen of Katwe,BV,"$8,874,389","1,259","$304,933",52,9/30,1/5
47,32,The Magnificent Seven (2016),Sony,"$93,432,655","3,696","$34,703,397","3,674",9/23,1/5
48,43,Storks,WB,"$72,679,278","3,922","$21,311,407","3,922",9/23,1/12
49,97,Bridget Jones's Baby,Uni.,"$24,252,420","2,930","$8,571,785","2,927",9/16,12/15
50,100,Snowden,ORF,"$21,587,519","2,443","$8,000,058","2,443",9/16,11/17
51,103,Blair Witch,LGF,"$20,777,061","3,121","$9,576,057","3,121",9/16,10/27
52,157,Hillsong - Let Hope Rise,PFR,"$2,394,386",816,"$1,357,243",816,9/16,10/23
53,24,Sully,WB,"$125,070,033","3,955","$35,028,301","3,525",9/9,1/26
54,88,When the Bough Breaks,SGem,"$29,747,603","2,246","$14,202,323","2,246",9/9,11/17
55,140,The Wild Life (2016),LG/S,"$8,005,586","2,493","$3,342,696","2,493",9/9,10/13
56,156,The Disappointments Room,Rela.,"$2,423,468","1,554","$1,402,823","1,554",9/9,10/27
57,126,The Light Between Oceans,BV,"$12,545,979","1,500","$4,765,838","1,500",9/2,11/3
58,150,Morgan,Fox,"$3,915,251","2,020","$2,012,709","2,020",9/2,10/6
59,34,Don't Breathe,SGem,"$89,217,875","3,384","$26,411,706","3,051",8/26,12/22
60,93,Hell or High Water,LGF,"$27,007,844","1,505","$621,329",32,8/26,11/17
61,101,Mechanic: Resurrection,LG/S,"$21,218,403","2,258","$7,456,525","2,258",8/26,10/27
62,144,Southside with You,RAtt.,"$6,304,223",897,"$2,868,403",813,8/26,11/3
63,147,Hands of Stone,Wein.,"$4,712,792","2,011","$1,751,388",810,8/26,10/13
64,67,Kubo and the Two Strings,Focus,"$48,023,088","3,279","$12,608,372","3,260",8/19,12/1
65,72,War Dogs,WB,"$43,034,523","3,258","$14,685,305","3,258",8/19,10/20
66,95,Ben-Hur (2016),Par.,"$26,410,477","3,084","$11,203,815","3,084",8/19,10/6
67,31,Sausage Party,Sony,"$97,685,686","3,135","$34,263,534","3,103",8/12,12/22
68,40,Pete's Dragon (2016),BV,"$76,233,151","3,702","$21,514,095","3,702",8/12,12/15
69,92,Florence Foster Jenkins,Par.,"$27,383,770","1,528","$6,601,313","1,528",8/12,10/27
70,9,Suicide Squad,WB,"$325,100,054","4,255","$133,682,248","4,255",8/5,11/10
71,107,Nine Lives (2016),EC,"$19,700,032","2,264","$6,249,915","2,264",8/5,10/27
72,129,Cafe Society,LGF,"$11,103,205",631,"$359,289",5,8/5,10/6
73,15,Jason Bourne,Uni.,"$162,434,410","4,039","$59,215,365","4,026",7/29,12/22
74,25,Bad Moms,STX,"$113,257,297","3,215","$23,817,340","3,215",7/29,10/27
75,76,Nerve,LGF,"$38,583,626","2,538","$9,445,456","2,538",7/27,10/6
76,152,Batman: The Killing Joke,Fathom,"$3,775,000","1,325",N/A,N/A,7/25,7/26
77,16,Star Trek Beyond,Par.,"$158,848,340","3,928","$59,253,211","3,928",7/22,10/20
78,45,Lights Out,WB (NL),"$67,268,835","2,835","$21,688,103","2,818",7/22,9/29
79,49,Ice Age: Collision Course,Fox,"$64,063,008","3,997","$21,373,064","3,992",7/22,11/3
80,123,Hillary's America: The Secret History of the Democratic Party,QF,"$13,099,931","1,217","$74,814",3,7/22,10/13
81,21,Ghostbusters (2016),Sony,"$128,350,574","3,963","$46,018,755","3,963",7/15,11/10
82,116,The Infiltrator,BG,"$15,436,808","1,601","$5,303,775","1,601",7/13,10/6
83,4,The Secret Life of Pets,Uni.,"$368,384,330","4,381","$104,352,905","4,370",7/8,12/29
84,71,Mike and Dave Need Wedding Dates,Fox,"$46,009,673","3,008","$16,628,170","2,982",7/8,10/13
85,23,The Legend of Tarzan,WB,"$126,643,061","3,591","$38,527,856","3,561",7/1,9/15
86,38,The Purge: Election Year,Uni.,"$79,213,375","2,821","$31,515,110","2,796",7/1,10/13
87,59,The BFG,BV,"$55,483,770","3,392","$18,775,350","3,357",7/1,10/13
88,148,Swiss Army Man,A24,"$4,210,454",636,"$105,453",3,7/1,9/29
89,27,Independence Day: Resurgence,Fox,"$103,144,286","4,130","$41,039,944","4,130",6/24,9/15
90,61,The Shallows,Sony,"$55,124,043","2,962","$16,800,868","2,962",6/24,9/29
91,102,Free State of Jones,STX,"$20,810,036","2,815","$7,572,206","2,815",6/24,7/28
92,162,The Neon Demon,BG,"$1,333,124",783,"$589,014",783,6/24,8/4
93,2,Finding Dory,BV,"$486,295,561","4,305","$135,060,273","4,305",6/17,12/8
94,22,Central Intelligence,WB (NL),"$127,440,871","3,508","$35,535,250","3,508",6/17,9/1
95,28,The Conjuring 2,WB (NL),"$102,470,008","3,356","$40,406,314","3,343",6/10,8/25
96,48,Now You See Me 2,LG/S,"$65,075,540","3,232","$22,383,146","3,232",6/10,8/25
97,69,Warcraft,Uni.,"$47,365,290","3,406","$24,166,110","3,400",6/10,9/8
98,37,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$82,051,601","4,071","$35,316,382","4,071",6/3,9/8
99,58,Me Before You,WB (NL),"$56,245,075","2,762","$18,723,269","2,704",6/3,8/18
100,122,Love & Friendship,RAtt.,"$14,016,568",826,"$133,513",4,6/3,9/22
Summary of 165 Movies on Chart:,,,,,,,,,
Totals:,,,,"$11,020,824,302",-,-,-,-,-
Averages:,,,,"$66,792,875",-,-,-,-,-
