row,rank,movie_title,studio,total_gross,total_theater,opening_weekend_count,opening_theater_count,release_date,close_date
94,44,Paddington 2,WB,"$40,442,052","3,702","$11,001,961","3,702",1/12/2018,3/15/2018
95,45,The Commuter,LGF,"$36,343,858","2,892","$13,701,452","2,892",1/12/2018,3/15/2018
96,59,Proud Mary,SGem,"$20,877,013","2,125","$9,959,053","2,125",1/12/2018,3/8/2018
97,20,Insidious: The Last Key,Uni.,"$67,347,895","3,150","$29,581,355","3,116",1/5/2018,3/1/2018
98,54,Molly's Game,STX,"$28,780,744","1,708","$2,349,967",271,1/5/2018,3/8/2018
1,91,All the Money in the World,TriS,"$25,113,707","2,123","$5,584,684","2,074",12/25/2017,3/22/2017
2,30,Pitch Perfect 3,Uni.,"$104,897,530","3,468","$19,928,525","3,447",12/22/2017,3/8/2017
3,46,The Shape of Water,FoxS,"$63,859,435","2,341","$166,564",2,12/22/2017,5/3/2017
4,50,Darkest Hour,Focus,"$56,468,410","1,733","$175,006",4,12/22/2017,4/12/2017
5,93,Downsizing,Par.,"$24,449,754","2,668","$4,954,287","2,668",12/22/2017,2/1/2017
6,107,Father Figures,WB,"$17,501,244","2,902","$3,287,451","2,902",12/22/2017,2/15/2017
7,4,Jumanji: Welcome to the Jungle,Sony,"$404,515,480","3,849","$36,169,328","3,765",12/20/2017,5/31/2017
8,18,The Greatest Showman,Fox,"$174,340,174","3,342","$8,805,843","3,006",12/20/2017,7/26/2017
9,1,Star Wars: The Last Jedi,BV,"$620,181,382","4,232","$220,009,584","4,232",12/15/2017,4/19/2017
10,39,Ferdinand,Fox,"$84,410,380","3,630","$13,401,586","3,621",12/15/2017,5/31/2017
11,99,The Disaster Artist,A24,"$21,120,616","1,010","$1,211,345",19,12/8/2017,3/8/2017
12,138,Just Getting Started,BG,"$6,069,605","2,161","$3,201,459","2,161",12/8/2017,1/25/2017
13,52,"Three Billboards Outside Ebbing, Missouri",FoxS,"$54,513,740","1,726","$322,168",4,12/1/2017,5/3/2017
14,57,Lady Bird,A24,"$48,958,273","1,557","$364,437",4,11/24/2017,4/5/2017
15,141,The Man Who Invented Christmas,BST,"$5,676,486",720,"$1,357,129",626,11/24/2017,1/25/2017
16,13,Coco,BV,"$209,726,015","3,987","$50,802,605","3,987",11/22/2017,4/26/2017
17,119,"Roman J. Israel, Esq.",Sony,"$11,962,778","1,669","$61,999",4,11/22/2017,2/22/2017
18,10,Justice League,WB,"$229,024,295","4,051","$93,842,239","4,051",11/17/2017,3/15/2017
19,25,Wonder,LGF,"$132,422,809","3,519","$27,547,866","3,096",11/17/2017,3/22/2017
20,68,The Star,Sony,"$40,852,824","2,976","$9,812,674","2,837",11/17/2017,2/15/2017
21,164,TCM Presents Casablanca 75th Anniversary,Fathom,"$1,024,560",725,"$596,068",725,11/12/2017,11/15/2017
22,31,Daddy's Home 2,Par.,"$104,029,443","3,575","$29,651,193","3,575",11/10/2017,2/15/2017
23,32,Murder on the Orient Express (2017),Fox,"$102,826,543","3,354","$28,681,472","3,341",11/10/2017,-
24,155,Pokemon the Movie: I Choose You!,Fathom,"$2,401,722",789,N/A,N/A,11/5/2017,11/16/2017
25,8,Thor: Ragnarok,BV,"$315,058,289","4,080","$122,744,989","4,080",11/3/2017,3/15/2017
26,131,Let there be Light,ADC,"$7,233,471",774,"$1,729,535",373,11/3/2017,2/16/2017
27,153,LBJ,Electric,"$2,470,979",659,"$1,110,565",659,11/3/2017,12/21/2017
28,44,A Bad Moms Christmas,STX,"$72,110,659","3,615","$16,759,161","3,615",11/1/2017,1/11/2017
29,71,Jigsaw,LGF,"$38,052,832","2,941","$16,640,452","2,941",10/27/2017,12/21/2017
30,125,Thank You for Your Service (2017),Uni.,"$9,536,300","2,083","$3,817,700","2,054",10/27/2017,11/30/2017
31,140,Suburbicon,Par.,"$5,775,178","2,046","$2,840,246","2,046",10/27/2017,11/16/2017
32,163,Spirited Away (Fathom Event),Fathom,"$1,196,791",632,"$903,896",632,10/27/2017,-
33,165,Kirk Cameron REVIVE US 2,Fathom,"$718,607",731,N/A,N/A,10/24/2017,11/2/2017
34,58,Tyler Perry's Boo 2! A Madea Halloween,LGF,"$47,319,572","2,388","$21,226,953","2,388",10/20/2017,12/14/2017
35,76,Geostorm,WB,"$33,700,160","3,246","$13,707,376","3,246",10/20/2017,1/11/2017
36,104,Only The Brave,Sony,"$18,343,983","2,577","$6,002,665","2,577",10/20/2017,2/1/2017
37,136,The Snowman,Uni.,"$6,700,035","1,815","$3,372,565","1,812",10/20/2017,11/23/2017
38,137,Same Kind of Different as Me,PFR,"$6,423,605","1,362","$2,591,985","1,362",10/20/2017,2/1/2017
39,51,Happy Death Day,Uni.,"$55,683,845","3,535","$26,039,025","3,149",10/13/2017,12/14/2017
40,73,The Foreigner,STX,"$34,393,507","2,515","$13,113,024","2,515",10/13/2017,12/21/2017
41,124,Marshall,ORF,"$10,051,659",821,"$3,000,805",821,10/13/2017,1/18/2017
42,161,Professor Marston & the Wonder Women,Annapurna,"$1,584,759","1,229","$736,883","1,229",10/13/2017,11/20/2017
43,35,Blade Runner 2049,WB,"$92,054,159","4,058","$32,753,122","4,058",10/6/2017,2/1/2017
44,83,The Mountain Between Us,Fox,"$30,348,555","3,259","$10,551,336","3,088",10/6/2017,12/21/2017
45,95,Victoria and Abdul,Focus,"$22,245,070","1,060","$158,845",4,10/6/2017,1/4/2017
46,97,My Little Pony: The Movie,LGF,"$21,885,107","2,528","$8,885,899","2,528",10/6/2017,-
47,162,The Stray,Purd.,"$1,579,440",640,"$596,547",640,10/6/2017,12/14/2017
48,55,American Made,Uni.,"$51,342,000","3,098","$16,776,390","3,024",9/29/2017,12/14/2017
49,109,Flatliners (2017),Sony,"$16,883,115","2,552","$6,574,326","2,552",9/29/2017,11/23/2017
50,117,Battle of the Sexes,FoxS,"$12,638,526","1,822","$518,332",21,9/29/2017,12/21/2017
51,144,Stronger,RAtt.,"$4,211,129",645,"$1,611,040",573,9/29/2017,11/30/2017
52,151,A Question Of Faith,PFR,"$2,587,072",661,"$1,025,489",661,9/29/2017,12/14/2017
53,34,Kingsman: The Golden Circle,Fox,"$100,234,838","4,038","$39,023,010","4,003",9/22/2017,1/4/2017
54,47,The LEGO Ninjago Movie,WB,"$59,281,555","4,047","$20,433,071","4,047",9/22/2017,11/30/2017
55,145,Friend Request,ENTMP,"$3,759,078","2,573","$2,002,863","2,573",9/22/2017,11/30/2017
56,72,American Assassin,LGF,"$36,249,674","3,154","$14,846,778","3,154",9/15/2017,11/9/2017
57,105,mother!,Par.,"$17,800,004","2,368","$7,534,673","2,368",9/15/2017,10/26/2017
58,7,It,WB (NL),"$327,481,748","4,148","$123,403,419","4,103",9/8/2017,12/14/2017
59,88,Home Again,ORF,"$27,020,284","3,036","$8,567,881","2,940",9/8/2017,11/9/2017
60,149,Close Encounters of the Third Kind (40th Anniversary),Sony,"$3,100,479",901,"$1,767,758",901,9/1/2017,9/21/2017
61,154,Tulip Fever,Wein.,"$2,455,635",772,"$1,158,017",765,9/1/2017,11/16/2017
62,98,Leap!,Wein.,"$21,858,070","2,705","$4,730,038","2,575",8/25/2017,12/7/2017
63,135,Birth of the Dragon,BH Tilt,"$6,901,965","1,633","$2,702,430","1,618",8/25/2017,9/28/2017
64,139,All Saints,Sony,"$5,802,208",846,"$1,514,278",846,8/25/2017,10/26/2017
65,150,Ingrid Goes West,Neon,"$3,024,308",647,"$135,301",3,8/25/2017,10/26/2017
66,158,Good Time,A24,"$2,026,499",721,"$125,101",4,8/25/2017,11/12/2017
67,41,The Hitman's Bodyguard,LG/S,"$75,468,583","3,377","$21,384,504","3,377",8/18/2017,11/2/2017
68,75,Wind River,Wein.,"$33,800,859","2,890","$161,558",4,8/18/2017,12/7/2017
69,87,Logan Lucky,BST,"$27,780,977","3,031","$7,600,036","3,031",8/18/2017,11/9/2017
70,33,Annabelle: Creation,WB (NL),"$102,092,201","3,565","$35,006,404","3,502",8/11/2017,11/2/2017
71,85,The Nut Job 2: Nutty by Nature,ORF,"$28,370,522","4,003","$8,342,311","4,003",8/11/2017,9/28/2017
72,108,The Glass Castle,LGF,"$17,273,059","1,461","$4,678,548","1,461",8/11/2017,10/12/2017
73,56,The Dark Tower,Sony,"$50,701,325","3,451","$19,153,698","3,451",8/4/2017,10/19/2017
74,81,Kidnap (2017),Aviron,"$30,718,107","2,418","$10,016,323","2,378",8/4/2017,11/16/2017
75,110,Detroit,Annapurna,"$16,790,139","3,007","$350,190",20,8/4/2017,10/12/2017
76,37,The Emoji Movie,Sony,"$86,089,513","4,075","$24,531,923","4,075",7/28/2017,11/30/2017
77,54,Atomic Blonde,Focus,"$51,687,870","3,326","$18,286,420","3,304",7/28/2017,10/5/2017
78,14,Dunkirk,WB,"$188,045,546","4,014","$50,513,488","3,720",7/21/2017,11/23/2017
79,27,Girls Trip,Uni.,"$115,171,585","2,648","$31,201,920","2,591",7/21/2017,10/19/2017
80,67,Valerian and the City of a Thousand Planets,STX,"$41,189,488","3,553","$17,007,624","3,553",7/21/2017,9/21/2017
81,23,War for the Planet of the Apes,Fox,"$146,880,162","4,100","$56,262,929","4,022",7/14/2017,11/30/2017
82,66,The Big Sick,LGF,"$42,873,127","2,597","$421,577",5,7/14/2017,10/22/2017
83,112,Wish Upon,BG,"$14,301,505","2,250","$5,467,084","2,250",7/14/2017,10/12/2017
84,6,Spider-Man: Homecoming,Sony,"$334,201,140","4,348","$117,027,503","4,348",7/7/2017,11/30/2017
85,9,Despicable Me 3,Uni.,"$264,624,300","4,535","$72,434,025","4,529",6/30/2017,12/21/2017
86,90,The House,WB (NL),"$25,584,504","3,134","$8,724,795","3,134",6/30/2017,8/31/2017
87,121,The Beguiled (2017),Focus,"$10,709,995",941,"$229,292",4,6/30/2017,8/17/2017
88,133,Beatriz At Dinner,RAtt.,"$7,115,854",683,"$141,959",5,6/30/2017,10/5/2017
89,29,Baby Driver,TriS,"$107,825,862","3,226","$20,553,320","3,226",6/28/2017,10/19/2017
90,143,The Book of Henry,Focus,"$4,504,974",650,"$1,424,540",579,6/23/2017,8/17/2017
91,26,Transformers: The Last Knight,Par.,"$130,168,683","4,132","$44,680,073","4,069",6/21/2017,8/24/2017
92,22,Cars 3,BV,"$152,901,115","4,256","$53,688,680","4,256",6/16/2017,11/2/2017
93,63,All Eyez on Me,LG/S,"$44,922,302","2,471","$26,435,354","2,471",6/16/2017,8/3/2017
94,65,47 Meters Down,ENTMP,"$44,307,192","2,471","$11,205,561","2,270",6/16/2017,10/19/2017
95,96,Rough Night,Sony,"$22,105,643","3,162","$8,004,283","3,162",6/16/2017,8/31/2017
96,40,The Mummy (2017),Uni.,"$80,227,895","4,035","$31,688,375","4,035",6/9/2017,8/24/2017
97,113,It Comes At Night,A24,"$13,985,117","2,533","$5,988,370","2,533",6/9/2017,9/17/2017
98,115,Megan Leavey,BST,"$13,406,883","1,956","$3,810,867","1,956",6/9/2017,9/14/2017
99,3,Wonder Woman,WB,"$412,563,408","4,165","$103,251,471","4,165",6/2/2017,11/9/2017
100,43,Captain Underpants: The First Epic Movie,Fox,"$73,921,000","3,529","$23,851,539","3,434",6/2/2017,11/2/2017
